Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
SRR29492871_1	(14.0, 26.0)	(15.0, 227.0)	(16.0, 978.0)	(17.0, 2518.0)	(18.0, 4927.0)	(19.0, 9651.0)	(20.0, 18946.0)	(21.0, 41055.0)	(22.0, 85592.0)	(23.0, 175104.0)	(24.0, 314339.0)	(25.0, 516520.0)	(26.0, 750542.0)	(27.0, 1077525.0)	(28.0, 1478202.0)	(29.0, 2067212.0)	(30.0, 2882561.0)	(31.0, 4692884.0)	(32.0, 14677050.0)	(33.0, 14594914.0)	(34.0, 9150900.0)	(35.0, 16726004.0)	(36.0, 57279611.0)	(37.0, 2601394.0)						
SRR29492871_2	(11.0, 4.0)	(12.0, 96.0)	(13.0, 619.0)	(14.0, 1921.0)	(15.0, 4174.0)	(16.0, 7407.0)	(17.0, 13813.0)	(18.0, 29105.0)	(19.0, 63873.0)	(20.0, 128325.0)	(21.0, 239200.0)	(22.0, 396469.0)	(23.0, 597757.0)	(24.0, 782434.0)	(25.0, 958665.0)	(26.0, 1112638.0)	(27.0, 1344875.0)	(28.0, 1614186.0)	(29.0, 2028844.0)	(30.0, 2572516.0)	(31.0, 3482376.0)	(32.0, 4991052.0)	(33.0, 8030487.0)	(34.0, 14383047.0)	(35.0, 32571873.0)	(36.0, 51708621.0)	(37.0, 2084305.0)			
SRR29492872_1	(14.0, 5.0)	(15.0, 68.0)	(16.0, 419.0)	(17.0, 1125.0)	(18.0, 2525.0)	(19.0, 5084.0)	(20.0, 10587.0)	(21.0, 23946.0)	(22.0, 51151.0)	(23.0, 104493.0)	(24.0, 183747.0)	(25.0, 293660.0)	(26.0, 424928.0)	(27.0, 624332.0)	(28.0, 877649.0)	(29.0, 1239459.0)	(30.0, 1669398.0)	(31.0, 2280286.0)	(32.0, 3081163.0)	(33.0, 4659685.0)	(34.0, 8318486.0)	(35.0, 16401147.0)	(36.0, 31555098.0)	(37.0, 933556.0)						
SRR29492872_2	(11.0, 1.0)	(12.0, 26.0)	(13.0, 262.0)	(14.0, 865.0)	(15.0, 1874.0)	(16.0, 3699.0)	(17.0, 8104.0)	(18.0, 19833.0)	(19.0, 51363.0)	(20.0, 122162.0)	(21.0, 257425.0)	(22.0, 443865.0)	(23.0, 652009.0)	(24.0, 815764.0)	(25.0, 957594.0)	(26.0, 1060995.0)	(27.0, 1221624.0)	(28.0, 1400309.0)	(29.0, 1680494.0)	(30.0, 2033520.0)	(31.0, 2618724.0)	(32.0, 3458683.0)	(33.0, 5069862.0)	(34.0, 8190979.0)	(35.0, 16424111.0)	(36.0, 25412663.0)	(37.0, 835187.0)			
SRR29492873_1	(14.0, 8.0)	(15.0, 106.0)	(16.0, 516.0)	(17.0, 1222.0)	(18.0, 2551.0)	(19.0, 5029.0)	(20.0, 9741.0)	(21.0, 19797.0)	(22.0, 38089.0)	(23.0, 71358.0)	(24.0, 120349.0)	(25.0, 192051.0)	(26.0, 280013.0)	(27.0, 410586.0)	(28.0, 579656.0)	(29.0, 830492.0)	(30.0, 1160995.0)	(31.0, 1734079.0)	(32.0, 3679596.0)	(33.0, 4295693.0)	(34.0, 4720484.0)	(35.0, 9978897.0)	(36.0, 33798584.0)	(37.0, 1709162.0)						
SRR29492873_2	(12.0, 27.0)	(13.0, 205.0)	(14.0, 720.0)	(15.0, 1801.0)	(16.0, 3589.0)	(17.0, 7039.0)	(18.0, 15662.0)	(19.0, 37526.0)	(20.0, 80025.0)	(21.0, 151499.0)	(22.0, 244405.0)	(23.0, 363355.0)	(24.0, 480075.0)	(25.0, 606287.0)	(26.0, 722016.0)	(27.0, 890743.0)	(28.0, 1076299.0)	(29.0, 1352567.0)	(30.0, 1707914.0)	(31.0, 2278149.0)	(32.0, 3106975.0)	(33.0, 4677712.0)	(34.0, 7615078.0)	(35.0, 15105197.0)	(36.0, 22508085.0)	(37.0, 606104.0)				
SRR29492874_1	(14.0, 2.0)	(15.0, 34.0)	(16.0, 192.0)	(17.0, 721.0)	(18.0, 1916.0)	(19.0, 5150.0)	(20.0, 12605.0)	(21.0, 31079.0)	(22.0, 74558.0)	(23.0, 162497.0)	(24.0, 318307.0)	(25.0, 601763.0)	(26.0, 1044339.0)	(27.0, 1743763.0)	(28.0, 2582986.0)	(29.0, 3591712.0)	(30.0, 4652853.0)	(31.0, 6102213.0)	(32.0, 7745975.0)	(33.0, 9698083.0)	(34.0, 10317783.0)	(35.0, 8065240.0)	(36.0, 2300623.0)	(37.0, 6658.0)						
SRR29492874_2	(12.0, 5.0)	(13.0, 91.0)	(14.0, 396.0)	(15.0, 1160.0)	(16.0, 2427.0)	(17.0, 4971.0)	(18.0, 11222.0)	(19.0, 26214.0)	(20.0, 57099.0)	(21.0, 108035.0)	(22.0, 169169.0)	(23.0, 236674.0)	(24.0, 298065.0)	(25.0, 368166.0)	(26.0, 437498.0)	(27.0, 542583.0)	(28.0, 666199.0)	(29.0, 852324.0)	(30.0, 1100973.0)	(31.0, 1518887.0)	(32.0, 2147713.0)	(33.0, 3410976.0)	(34.0, 6062978.0)	(35.0, 13914890.0)	(36.0, 26189506.0)	(37.0, 932831.0)				
SRR29492875_1	(13.0, 1.0)	(14.0, 2.0)	(15.0, 15.0)	(16.0, 77.0)	(17.0, 290.0)	(18.0, 1139.0)	(19.0, 4139.0)	(20.0, 11815.0)	(21.0, 29794.0)	(22.0, 65354.0)	(23.0, 133784.0)	(24.0, 240785.0)	(25.0, 414674.0)	(26.0, 646967.0)	(27.0, 982976.0)	(28.0, 1421696.0)	(29.0, 2107367.0)	(30.0, 3098076.0)	(31.0, 4822548.0)	(32.0, 7632340.0)	(33.0, 13477491.0)	(34.0, 26369007.0)	(35.0, 65025673.0)	(36.0, 96570089.0)	(37.0, 617894.0)					
SRR29492875_2	(11.0, 32.0)	(12.0, 195.0)	(13.0, 907.0)	(14.0, 2677.0)	(15.0, 5366.0)	(16.0, 9470.0)	(17.0, 16319.0)	(18.0, 27541.0)	(19.0, 46227.0)	(20.0, 75097.0)	(21.0, 126268.0)	(22.0, 208853.0)	(23.0, 346002.0)	(24.0, 532112.0)	(25.0, 792240.0)	(26.0, 1090650.0)	(27.0, 1486581.0)	(28.0, 1976433.0)	(29.0, 2762517.0)	(30.0, 3927479.0)	(31.0, 6045463.0)	(32.0, 9576558.0)	(33.0, 16817367.0)	(34.0, 31808364.0)	(35.0, 68548869.0)	(36.0, 76477118.0)	(37.0, 967288.0)			
