Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR29492874_2	(1.0, 80.07924423680919)	(2.0, 11.091928746881557)	(3.0, 1.9733029142902048)	(4.0, 0.5972969007371274)	(5.0, 0.3178458169733971)	(6.0, 0.22837470043636912)	(7.0, 0.17168309396384523)	(8.0, 0.1448616899906012)	(9.0, 0.13099152150708615)	('>10', 1.9380097094913462)	('>50', 0.8633321853784657)	('>100', 1.9376046374708074)	('>500', 0.3796967964648722)	('>1k', 0.12341107280949751)	('>5k', 0.02241597679568686)	('>10k+', 0.0)
SRR29492875_1	(1.0, 71.82346109312648)	(2.0, 17.32769406173754)	(3.0, 3.7654256327422484)	(4.0, 0.96106842168984)	(5.0, 0.39071716889433217)	(6.0, 0.2798660788826816)	(7.0, 0.23094613399222588)	(8.0, 0.192002295819349)	(9.0, 0.18904859964931428)	('>10', 2.394390475302709)	('>50', 0.8807373025605537)	('>100', 1.2706680237241408)	('>500', 0.18484281966965754)	('>1k', 0.09653312374055863)	('>5k', 0.0)	('>10k+', 0.01259876846809847)
SRR29492875_2	(1.0, 80.25435830819723)	(2.0, 15.696742190210955)	(3.0, 2.6775878033099123)	(4.0, 0.5490498004211167)	(5.0, 0.1670560087536962)	(6.0, 0.10005800923070371)	(7.0, 0.06004949056289391)	(8.0, 0.062066317246911196)	(9.0, 0.044057836380495416)	('>10', 0.2660116624395231)	('>50', 0.02743665909157927)	('>100', 0.014794510354312514)	('>500', 0.009401713814678553)	('>1k', 0.018594372901602596)	('>5k', 0.011613975633536966)	('>10k+', 0.041121341450847095)
SRR29492876_1	(1.0, 70.94043861817484)	(2.0, 17.754701066883392)	(3.0, 3.9599425437092384)	(4.0, 1.0159098011468997)	(5.0, 0.4655953265395237)	(6.0, 0.28181252836073417)	(7.0, 0.21290177282255765)	(8.0, 0.15595982996495814)	(9.0, 0.17699047521534006)	('>10', 2.3920257314247535)	('>50', 0.8711101876576258)	('>100', 1.4085588265215059)	('>500', 0.22493917391861484)	('>1k', 0.12669157931795685)	('>5k', 0.0)	('>10k+', 0.012422538341847153)
SRR29492876_2	(1.0, 79.89627204227136)	(2.0, 16.025083528867455)	(3.0, 2.729376779567985)	(4.0, 0.5099871849137221)	(5.0, 0.16602955765194802)	(6.0, 0.087033170613639)	(7.0, 0.07604442292837911)	(8.0, 0.044034662342822335)	(9.0, 0.04304261628241539)	('>10', 0.29892379762904797)	('>50', 0.023294719755532815)	('>100', 0.014491732503226919)	('>500', 0.011733546014287445)	('>1k', 0.01983816442399864)	('>5k', 0.008909470863681962)	('>10k+', 0.04590460337049686)
SRR29492877_1	(1.0, 72.62589488685259)	(2.0, 16.944426315796722)	(3.0, 3.6123771284140056)	(4.0, 0.9163286012993648)	(5.0, 0.389819668462046)	(6.0, 0.2699480088342069)	(7.0, 0.24101863347904962)	(8.0, 0.19206667067355587)	(9.0, 0.18811603686367678)	('>10', 2.5065982787214924)	('>50', 0.815145203582242)	('>100', 1.0968733041934935)	('>500', 0.12144028529050022)	('>1k', 0.06452269621142556)	('>5k', 0.0032777175177778413)	('>10k+', 0.01214656380777233)
SRR29492877_2	(1.0, 80.85150768235935)	(2.0, 15.45132153513132)	(3.0, 2.5237520791924184)	(4.0, 0.4660796717009462)	(5.0, 0.14706471120404663)	(6.0, 0.08706172680749993)	(7.0, 0.061059709428373396)	(8.0, 0.05206490800900528)	(9.0, 0.03505311834771257)	('>10', 0.2239211961204165)	('>50', 0.008143034001957586)	('>100', 0.01799951537833923)	('>500', 0.007201635231519339)	('>1k', 0.016276670945354843)	('>5k', 0.008125476170991084)	('>10k+', 0.04336732997074623)
SRR29492878_1	(1.0, 70.00519069489468)	(2.0, 17.300509690170486)	(3.0, 4.8532879413592935)	(4.0, 1.452636867325967)	(5.0, 0.5676027350353501)	(6.0, 0.3028602330040557)	(7.0, 0.20095515560084623)	(8.0, 0.15100228041609595)	(9.0, 0.1420359754820445)	('>10', 2.6559655274370297)	('>50', 0.9155901917548599)	('>100', 1.1732941078900871)	('>500', 0.18938559451164244)	('>1k', 0.06719571051362797)	('>5k', 0.004457176011253611)	('>10k+', 0.01803011859272609)
SRR29492878_2	(1.0, 76.7634217641145)	(2.0, 16.980324381299084)	(3.0, 4.058416531218239)	(4.0, 1.0558398197873073)	(5.0, 0.31002687179103033)	(6.0, 0.1370445373388489)	(7.0, 0.08304677338882431)	(8.0, 0.06405132911418095)	(9.0, 0.05105306743214856)	('>10', 0.32517815317206755)	('>50', 0.029449233283635672)	('>100', 0.03668245041814482)	('>500', 0.008221606434651689)	('>1k', 0.0238845391367602)	('>5k', 0.009890826355452537)	('>10k+', 0.06346811571509692)
SRR29492879_1	(1.0, 67.5464355224195)	(2.0, 18.517862862065318)	(3.0, 5.622605276737183)	(4.0, 1.8113385338313803)	(5.0, 0.6305603366502216)	(6.0, 0.33184160468273255)	(7.0, 0.22094311810639616)	(8.0, 0.16799367618474506)	(9.0, 0.1490271377866042)	('>10', 2.528809401733941)	('>50', 1.0240883491902508)	('>100', 1.172308217985624)	('>500', 0.17060545877723196)	('>1k', 0.08264175330445171)	('>5k', 0.007095461285541366)	('>10k+', 0.015843289258752623)
SRR29492879_2	(1.0, 74.22562315288695)	(2.0, 18.43080492334067)	(3.0, 4.904365047449203)	(4.0, 1.2668560296321663)	(5.0, 0.3900413501575248)	(6.0, 0.1420462515524152)	(7.0, 0.07604145316841988)	(8.0, 0.07305585885942677)	(9.0, 0.05505417364907026)	('>10', 0.2869481898174396)	('>50', 0.032459919682688215)	('>100', 0.020916249974652024)	('>500', 0.009400532921743941)	('>1k', 0.022853949639712257)	('>5k', 0.014169431598488956)	('>10k+', 0.04936348566942836)
SRR29492880_1	(1.0, 74.74583975591919)	(2.0, 15.336154326251867)	(3.0, 2.9525716287808272)	(4.0, 0.7303442008871122)	(5.0, 0.38275702282035506)	(6.0, 0.28489408308700936)	(7.0, 0.19397888787548298)	(8.0, 0.18502849620833112)	(9.0, 0.1540642085338376)	('>10', 2.618924227817535)	('>50', 0.9285475042785126)	('>100', 1.2418305661015605)	('>500', 0.16218722058973173)	('>1k', 0.07139174047740617)	('>5k', 0.0)	('>10k+', 0.011486130371205062)
SRR29492880_2	(1.0, 83.37099917849608)	(2.0, 13.455846939430046)	(3.0, 2.0196062518150906)	(4.0, 0.37802542615381807)	(5.0, 0.13804547107950485)	(6.0, 0.0830491179074806)	(7.0, 0.07806662052344619)	(8.0, 0.047052474670628903)	(9.0, 0.04205791385244396)	('>10', 0.25096473953838333)	('>50', 0.025406707124502385)	('>100', 0.019085757904653017)	('>500', 0.008291114523835895)	('>1k', 0.02564806250094705)	('>5k', 0.010980392275372598)	('>10k+', 0.046873832203752415)
SRR29492881_1	(1.0, 72.18093734784385)	(2.0, 16.112837722181787)	(3.0, 3.653271676791064)	(4.0, 1.0059045387578307)	(5.0, 0.4426088014333778)	(6.0, 0.2838073743908256)	(7.0, 0.2168972670664603)	(8.0, 0.17895192773346394)	(9.0, 0.15798994035075653)	('>10', 2.759417557095988)	('>50', 1.2558130128395701)	('>100', 1.4434952408401405)	('>500', 0.19054015330043636)	('>1k', 0.08946625739292514)	('>5k', 0.005118064439496774)	('>10k+', 0.02294311754205756)
SRR29492881_2	(1.0, 79.69280771333854)	(2.0, 15.53773257800306)	(3.0, 2.9024924214513748)	(4.0, 0.6487964674945075)	(5.0, 0.2329748238755857)	(6.0, 0.10601033855151497)	(7.0, 0.09602910213240352)	(8.0, 0.0910462998071396)	(9.0, 0.06604715430266009)	('>10', 0.4422499021904573)	('>50', 0.037491056662898495)	('>100', 0.03543597089885915)	('>500', 0.004503863643210954)	('>1k', 0.02195819970988925)	('>5k', 0.008897256909649636)	('>10k+', 0.07552685102826343)
SRR29492882_1	(1.0, 68.11554927574278)	(2.0, 19.158538175055753)	(3.0, 4.719691339078298)	(4.0, 1.2825435445467022)	(5.0, 0.47056022186506147)	(6.0, 0.3067749428651213)	(7.0, 0.2318764758055787)	(8.0, 0.2029326543906895)	(9.0, 0.16397850864968844)	('>10', 2.5888056410506333)	('>50', 0.9609208178981298)	('>100', 1.3786244132807581)	('>500', 0.2799691993028666)	('>1k', 0.12530354365901855)	('>5k', 0.0027536542025373236)	('>10k+', 0.011177592606447951)
SRR29492882_2	(1.0, 77.4062172739357)	(2.0, 17.66640184304066)	(3.0, 3.335232837056026)	(4.0, 0.6999790019128214)	(5.0, 0.19703348941488988)	(6.0, 0.08403108151065264)	(7.0, 0.07304161478842444)	(8.0, 0.07005390979017566)	(9.0, 0.048046571557525536)	('>10', 0.29684722066468494)	('>50', 0.02432033379670049)	('>100', 0.01883467687834129)	('>500', 0.004566602047434189)	('>1k', 0.022177422398496256)	('>5k', 0.008368597565817534)	('>10k+', 0.04484752364159748)
SRR29492883_1	(1.0, 72.47125193036905)	(2.0, 17.14021138085906)	(3.0, 3.5502295867635882)	(4.0, 0.8942894038156487)	(5.0, 0.3728034349543721)	(6.0, 0.27692799154459746)	(7.0, 0.2280016222005655)	(8.0, 0.18705128207438076)	(9.0, 0.16308824885190262)	('>10', 2.491349592637714)	('>50', 0.8301387414941075)	('>100', 1.1728479360788504)	('>500', 0.1440381762326204)	('>1k', 0.0646574869956418)	('>5k', 0.0)	('>10k+', 0.013113185127873607)
SRR29492883_2	(1.0, 80.47807078026251)	(2.0, 15.751645083074136)	(3.0, 2.557649925998031)	(4.0, 0.4660604029768416)	(5.0, 0.15506140203275867)	(6.0, 0.09306163216941205)	(7.0, 0.05605204237745796)	(8.0, 0.05005979960863065)	(9.0, 0.04206143354702514)	('>10', 0.2319007687266719)	('>50', 0.018317066526120168)	('>100', 0.012712179582895175)	('>500', 0.012009030649415966)	('>1k', 0.02555096421653651)	('>5k', 0.013881241557992752)	('>10k+', 0.035906246693530576)
SRR29492884_1	(1.0, 71.63482491081233)	(2.0, 17.69065852270583)	(3.0, 3.848762892293997)	(4.0, 1.0700557377510993)	(5.0, 0.49067416949311343)	(6.0, 0.2808748099940958)	(7.0, 0.19695520329732802)	(8.0, 0.1709984197693658)	(9.0, 0.16303405785825387)	('>10', 2.317302944835172)	('>50', 0.7555388514853186)	('>100', 1.0984243300040775)	('>500', 0.15437393824601137)	('>1k', 0.10042568479323957)	('>5k', 0.0057670759127772435)	('>10k+', 0.021328450747863076)
SRR29492884_2	(1.0, 80.2992306095723)	(2.0, 15.807086336785439)	(3.0, 2.5891037153919694)	(4.0, 0.48093819393944803)	(5.0, 0.18901683943487332)	(6.0, 0.0750230041165784)	(7.0, 0.06903618202205038)	(8.0, 0.042031166698868076)	(9.0, 0.037035511968871636)	('>10', 0.25981225844608224)	('>50', 0.022281279563508824)	('>100', 0.0261042880119387)	('>500', 0.009411031533593708)	('>1k', 0.025416230182166037)	('>5k', 0.013345679826054705)	('>10k+', 0.055127672506230595)
SRR29492885_1	(1.0, 72.20901752531638)	(2.0, 16.81410827387095)	(3.0, 3.532683534789042)	(4.0, 0.8890905927172099)	(5.0, 0.4326435496862038)	(6.0, 0.281823865752774)	(7.0, 0.20691183003476843)	(8.0, 0.17995909178103267)	(9.0, 0.15499557202283384)	('>10', 2.5028373609605366)	('>50', 0.9397743250137909)	('>100', 1.5195686323703403)	('>500', 0.22028253518521254)	('>1k', 0.10401511083248723)	('>5k', 0.0)	('>10k+', 0.012288199666519277)
SRR29492885_2	(1.0, 81.83229918493694)	(2.0, 14.615021240672283)	(3.0, 2.279519319764784)	(4.0, 0.4349944723367086)	(5.0, 0.17203189504180666)	(6.0, 0.09603682617720116)	(7.0, 0.0710413079349499)	(8.0, 0.04703666112577504)	(9.0, 0.04304206570328572)	('>10', 0.2898182393200666)	('>50', 0.02632820337827273)	('>100', 0.015643286146089393)	('>500', 0.005718722692113198)	('>1k', 0.014413172993579398)	('>5k', 0.010831322877681494)	('>10k+', 0.046224078898499166)
