Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR29492884_2 - illumina_universal_adapter	(1, 0.010149905090090483)	(2, 0.010751629708705033)	(3, 0.015990150206545036)	(4, 0.016339806337519348)	(5, 0.01944088088217175)	(6, 0.0249978452687861)	(7, 0.02852403845403552)	(8, 0.03094595041208358)	(9, 0.03313199264110151)	(10, 0.040053524649364534)	(15, 0.053718165266175344)	(20, 0.07402326967478008)	(25, 0.10079800023559318)	(30, 0.13133961382910148)	(35, 0.16638969752630933)	(40, 0.20595812861905208)	(45, 0.2502249108737387)	(50, 0.29872083341901884)	(55, 0.35027160478316155)	(60, 0.40504940591744204)	(65, 0.46356540642892774)	(70, 0.5273226140616327)	(75, 0.5979284197796878)	(80, 0.6769362450246353)	(85, 0.7673722549598475)	(90, 0.8723579108603253)	(95, 0.9967023475932388)	(100, 1.147614644886764)	(105, 1.3342248972035669)	(110, 1.5696318948657897)	(115, 1.869200832070966)	(120, 2.2511712739590757)	(125, 2.7370956293517)	(130, 3.347584487539332)	(135, 4.100940549311362)	(140, 4.619463997695983)
SRR29492884_2 - polya	(1, 0.015694621634828897)	(2, 0.047461967635947046)	(3, 0.1330522572150308)	(4, 0.2873691384767276)	(5, 0.44688305561055564)	(6, 0.5864491892452175)	(7, 0.7174449943001112)	(8, 0.8437933360005972)	(9, 0.9688603954041909)	(10, 1.3322107198524855)	(15, 1.8837155519323017)	(20, 2.374092748521009)	(25, 2.832976239601607)	(30, 3.273066247016095)	(35, 3.7020566279759324)	(40, 4.118639075913764)	(45, 4.526223390007851)	(50, 4.932088186120891)	(55, 5.340736561109827)	(60, 5.7518023440117325)	(65, 6.162311284709125)	(70, 6.573467938695917)	(75, 6.989033736739711)	(80, 7.393434560166071)	(85, 7.779759307386913)	(90, 8.15519714551007)	(95, 8.532257309062615)	(100, 8.906589522646883)	(105, 9.27287237553195)	(110, 9.634577775307138)	(115, 9.98472690167154)	(120, 10.321673170567022)	(125, 10.647806649562753)	(130, 10.964235096692661)	(135, 11.276250606885505)	(140, 11.461731134071337)
SRR29492884_2 - polyg	(1, 0.05528912877801721)	(2, 0.05561586959193332)	(3, 0.05569844375167753)	(4, 0.055764424061138226)	(5, 0.055818551620396395)	(6, 0.05587939573810266)	(7, 0.05593391838903425)	(8, 0.05598488521490508)	(9, 0.05602913548232782)	(10, 0.05620637360702282)	(15, 0.056528768412531336)	(20, 0.056880083928534)	(25, 0.05729959226736849)	(30, 0.05776785491870268)	(35, 0.05828676832256896)	(40, 0.05884534893044634)	(45, 0.05946753929774391)	(50, 0.060079931391540733)	(55, 0.060744159512889896)	(60, 0.06144015300478182)	(65, 0.06219785981606152)	(70, 0.06295880637906323)	(75, 0.07092970187192263)	(80, 0.08771770020376654)	(85, 0.10077137105680482)	(90, 0.1102133508864662)	(95, 0.12302190686531637)	(100, 0.14233525215530904)	(105, 0.1688559387701148)	(110, 0.2001667958517666)	(115, 0.23612163948110004)	(120, 0.2766198793180631)	(125, 0.32219346679174476)	(130, 0.3717631694870384)	(135, 0.4255857969916653)	(140, 0.45952994007664344)
SRR29492885_1 - illumina_universal_adapter	(1, 0.005678430669041384)	(2, 0.0060030170930911045)	(3, 0.009914906298512001)	(4, 0.010138746371981954)	(5, 0.01190272338304223)	(6, 0.014760256235850153)	(7, 0.01652679769947064)	(8, 0.017771289891905063)	(9, 0.018783882302823154)	(10, 0.021865914659759372)	(15, 0.026931954057422068)	(20, 0.034313107956371235)	(25, 0.04548950510428821)	(30, 0.05952123700281864)	(35, 0.07426823135542884)	(40, 0.0907320167919914)	(45, 0.10932810789733387)	(50, 0.1301502170950137)	(55, 0.15330319385970703)	(60, 0.1786725903371552)	(65, 0.20740010080716473)	(70, 0.2402069958698136)	(75, 0.27834670666646033)	(80, 0.32322579879134494)	(85, 0.37679039865737574)	(90, 0.44166863051833144)	(95, 0.5217255640028908)	(100, 0.6227619908022539)	(105, 0.7523567474727255)	(110, 0.920652024079726)	(115, 1.141870201252119)	(120, 1.4320818239438764)	(125, 1.8105859363421324)	(130, 2.299075096113575)	(135, 2.9224404659682106)	(140, 3.3660011495854665)
SRR29492885_1 - polya	(1, 0.06195094589851001)	(2, 0.07512453870032028)	(3, 0.0890484170511755)	(4, 0.09949526408074866)	(5, 0.1093431282623294)	(6, 0.12253613763352413)	(7, 0.14133870380500027)	(8, 0.1553153366085227)	(9, 0.16623404290917493)	(10, 0.19550895409568003)	(15, 0.2502622143584058)	(20, 0.31363350062490764)	(25, 0.370353109840731)	(30, 0.44088661902761295)	(35, 0.49344031169440805)	(40, 0.5458681263755334)	(45, 0.5942462308436447)	(50, 0.6428694237064392)	(55, 0.6897292257187584)	(60, 0.7395700206571416)	(65, 0.7851954417471211)	(70, 0.836159393636804)	(75, 0.89683258272967)	(80, 0.9509711803487495)	(85, 0.9978281980982893)	(90, 1.0428514857271307)	(95, 1.0969529354191239)	(100, 1.1479957991775882)	(105, 1.198832774030504)	(110, 1.2571082732496448)	(115, 1.322663813666789)	(120, 1.3717080163698971)	(125, 1.4187055661197365)	(130, 1.4668138169084401)	(135, 1.5132155344234324)	(140, 1.544241160737758)
SRR29492885_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 7.143832132019806e-05)	(4, 0.00013078708057082412)	(5, 0.00017511547482592139)	(6, 0.00022347372310420932)	(7, 0.0002930802925956843)	(8, 0.0004857805849773468)	(9, 0.0006572325561458221)	(10, 0.0007677970965275441)	(15, 0.0009260604545292137)	(20, 0.0010926033307967111)	(25, 0.001303401331246157)	(30, 0.001508777346282583)	(35, 0.0017887422957846102)	(40, 0.002107393843909268)	(45, 0.0023828160488760628)	(50, 0.0026931148086617434)	(55, 0.0030431992181672884)	(60, 0.003607671861706576)	(65, 0.004289303352210989)	(70, 0.012157923047819921)	(75, 0.023741042371786557)	(80, 0.03101045940918361)	(85, 0.03677710724629629)	(90, 0.04452146089784466)	(95, 0.05545555391385816)	(100, 0.06926476460023531)	(105, 0.08402245638352526)	(110, 0.10090043754359868)	(115, 0.12020021443146338)	(120, 0.14231334231802723)	(125, 0.16701414937799147)	(130, 0.19425281196161495)	(135, 0.22489061977876315)	(140, 0.2453576622019633)
SRR29492885_2 - illumina_universal_adapter	(1, 0.007189259577372137)	(2, 0.007567333154820569)	(3, 0.011640782871534838)	(4, 0.011920674550963715)	(5, 0.013794190321381627)	(6, 0.01684918602132589)	(7, 0.01888682675559739)	(8, 0.020413042379289415)	(9, 0.021756815520840626)	(10, 0.027337943532740244)	(15, 0.03975509609936105)	(20, 0.05687369617965552)	(25, 0.07461304031966766)	(30, 0.08924272928516644)	(35, 0.10361084408952355)	(40, 0.11969501727710156)	(45, 0.13795985438173775)	(50, 0.15840821293628496)	(55, 0.18116501841546206)	(60, 0.20600108203045925)	(65, 0.23407722155017488)	(70, 0.26614123134116685)	(75, 0.30324534292392674)	(80, 0.3465942628411692)	(85, 0.39804524090707305)	(90, 0.4602077907768372)	(95, 0.5363628730559971)	(100, 0.6318331189383828)	(105, 0.7535646046285855)	(110, 0.9110996581031549)	(115, 1.1175323741345342)	(120, 1.387466357542182)	(125, 1.739241840336004)	(130, 2.1940433987655483)	(135, 2.7710073441854837)	(140, 3.175177670127514)
SRR29492885_2 - polya	(1, 0.01358756871510167)	(2, 0.0418229241037699)	(3, 0.12108539018517549)	(4, 0.26124810931613557)	(5, 0.4067976442250043)	(6, 0.5344971239133329)	(7, 0.6555425819086422)	(8, 0.7726208317933032)	(9, 0.8896587831377324)	(10, 1.2338766776964625)	(15, 1.7647425367845346)	(20, 2.2425042984163177)	(25, 2.6898900462023128)	(30, 3.118909038211922)	(35, 3.537085744607173)	(40, 3.943501212130633)	(45, 4.340732275984875)	(50, 4.736629238347222)	(55, 5.133994093355033)	(60, 5.532745950847556)	(65, 5.93049781838174)	(70, 6.329450582414835)	(75, 6.731041801782024)	(80, 7.122516695419614)	(85, 7.499957878866698)	(90, 7.865347527412174)	(95, 8.232234816252817)	(100, 8.596717527832856)	(105, 8.954162575616868)	(110, 9.308046697845842)	(115, 9.65155922141037)	(120, 9.982055463020135)	(125, 10.302922185266302)	(130, 10.614839700778063)	(135, 10.923170866019403)	(140, 11.105741350978008)
SRR29492885_2 - polyg	(1, 0.05095787047361163)	(2, 0.05136305397812517)	(3, 0.05147845434333472)	(4, 0.051561249525993)	(5, 0.051615103029757456)	(6, 0.05167628354083681)	(7, 0.05173709770155041)	(8, 0.05179021850458338)	(9, 0.05184224025651911)	(10, 0.05202416984814788)	(15, 0.052343847177296635)	(20, 0.052679424112318685)	(25, 0.053084314536539626)	(30, 0.05352063782214145)	(35, 0.05397044280120268)	(40, 0.054480915400831206)	(45, 0.05503293213193518)	(50, 0.055635944833950804)	(55, 0.056242987389989604)	(60, 0.05685743022341646)	(65, 0.05751327064817245)	(70, 0.05824604464973482)	(75, 0.06423645929024431)	(80, 0.07525964871520689)	(85, 0.0828209004539561)	(90, 0.08866228376568067)	(95, 0.09594247150383062)	(100, 0.10611924504377687)	(105, 0.11919025974317865)	(110, 0.13300774994782166)	(115, 0.14827987091469014)	(120, 0.16571741562340186)	(125, 0.18557668278983172)	(130, 0.20803593850195107)	(135, 0.23308946769405425)	(140, 0.2492768784146991)
SRR29492886_1 - illumina_universal_adapter	(1, 0.004597122213168552)	(2, 0.00483789837394714)	(3, 0.007829359765438686)	(4, 0.00802003502811587)	(5, 0.009481716569812145)	(6, 0.012419185731310917)	(7, 0.014252489468633134)	(8, 0.015479718263874299)	(9, 0.016553725865892727)	(10, 0.019643248821046823)	(15, 0.024785643915493753)	(20, 0.03222878899071386)	(25, 0.043544879414118345)	(30, 0.05802209329947816)	(35, 0.07376214166688519)	(40, 0.09145495766067953)	(45, 0.11171070212142817)	(50, 0.13431058491353878)	(55, 0.15925674626955158)	(60, 0.1870553511852367)	(65, 0.21857951725372052)	(70, 0.25478592842049663)	(75, 0.2972765487419453)	(80, 0.34765908198898643)	(85, 0.408580898530617)	(90, 0.4832266643867353)	(95, 0.577135690504708)	(100, 0.6972392172494454)	(105, 0.8533211231121246)	(110, 1.0593184078282856)	(115, 1.3316483087977318)	(120, 1.690147279469916)	(125, 2.1576882768524266)	(130, 2.7577388534658516)	(135, 3.5177482699053284)	(140, 4.053854340647203)
SRR29492886_1 - polya	(1, 0.06484710030375396)	(2, 0.07864916810596088)	(3, 0.09300234578728325)	(4, 0.1039418525669003)	(5, 0.11414832970148031)	(6, 0.12764590078318747)	(7, 0.1467353157927949)	(8, 0.1608671739727955)	(9, 0.17181105850079037)	(10, 0.20210429900873622)	(15, 0.25844164016584525)	(20, 0.3230657671522236)	(25, 0.37991977990120945)	(30, 0.4503946216695617)	(35, 0.5034515700422448)	(40, 0.5556943544999559)	(45, 0.6043078882691797)	(50, 0.6540179020820946)	(55, 0.7020759482238252)	(60, 0.7527573357601235)	(65, 0.7996064423665024)	(70, 0.8522407920957826)	(75, 0.9141688097812246)	(80, 0.968957789978757)	(85, 1.0168588208786709)	(90, 1.0631610980710147)	(95, 1.118605670408946)	(100, 1.1709625681743714)	(105, 1.22283110378743)	(110, 1.2815871995649182)	(115, 1.3473010940474748)	(120, 1.396464278446355)	(125, 1.4438816167921713)	(130, 1.4919294481876868)	(135, 1.5384451649342725)	(140, 1.5693381569699758)
SRR29492886_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00018289259889444246)	(4, 0.0002874721434750412)	(5, 0.0003492470372505577)	(6, 0.00040907626508038855)	(7, 0.0004956583996633959)	(8, 0.0006911978272047945)	(9, 0.0008351771071855257)	(10, 0.0009552246960343246)	(15, 0.0011305291977405933)	(20, 0.001288906405719398)	(25, 0.0014941741629892244)	(30, 0.0017158827975000935)	(35, 0.0020163909028112284)	(40, 0.002312910392933707)	(45, 0.002587735707761792)	(50, 0.0029127592039885643)	(55, 0.0032788362516693024)	(60, 0.0038618550522939803)	(65, 0.004527759222204862)	(70, 0.01069026697197473)	(75, 0.020309347557552274)	(80, 0.027485449981727035)	(85, 0.03331855648689234)	(90, 0.0412415027843185)	(95, 0.05254407082940047)	(100, 0.06695279727347217)	(105, 0.08291552710836289)	(110, 0.10133495204957352)	(115, 0.12256722624846172)	(120, 0.14695721899390032)	(125, 0.1739883559773098)	(130, 0.2042354842023429)	(135, 0.2384249207665241)	(140, 0.26111420690883896)
SRR29492886_2 - illumina_universal_adapter	(1, 0.0049293446733943615)	(2, 0.005199792239844654)	(3, 0.00822335711944001)	(4, 0.008462187614272913)	(5, 0.010005587125687982)	(6, 0.013084117068248956)	(7, 0.015173762293915245)	(8, 0.01663447100263868)	(9, 0.018001787745969205)	(10, 0.02321714531337934)	(15, 0.03482537747852851)	(20, 0.05222371693144334)	(25, 0.07088703109894565)	(30, 0.08649389863237049)	(35, 0.10195766243549018)	(40, 0.11936942698343023)	(45, 0.13940278182658702)	(50, 0.16179058703061788)	(55, 0.18650424130612125)	(60, 0.21403132853908596)	(65, 0.24518367784534928)	(70, 0.28094229399472587)	(75, 0.3227446349878883)	(80, 0.372093922334473)	(85, 0.4314389711937201)	(90, 0.5040695135465946)	(95, 0.5951287227539217)	(100, 0.7111698935706621)	(105, 0.861488153202437)	(110, 1.0594233765060557)	(115, 1.321011061222777)	(120, 1.6652936345296205)	(125, 2.114616680679596)	(130, 2.693555419816171)	(135, 3.4242510439847607)	(140, 3.9333611942968427)
SRR29492886_2 - polya	(1, 0.012617157241284422)	(2, 0.038750855807246416)	(3, 0.11525833212349393)	(4, 0.24978362127413908)	(5, 0.3896604646083924)	(6, 0.5131207515259237)	(7, 0.6306686460510031)	(8, 0.7449079356354443)	(9, 0.8595183609990249)	(10, 1.197304550279819)	(15, 1.719336159987091)	(20, 2.1890619456600113)	(25, 2.6290932695197706)	(30, 3.0518361840525463)	(35, 3.4646576615117852)	(40, 3.8662160679446393)	(45, 4.2592234671127995)	(50, 4.650096568021842)	(55, 5.043726093876135)	(60, 5.438828294284717)	(65, 5.832833917366312)	(70, 6.227658568527742)	(75, 6.624978925397704)	(80, 7.012513944527031)	(85, 7.385170358886401)	(90, 7.7470513833886745)	(95, 8.110540111661866)	(100, 8.472748299892906)	(105, 8.827267800006378)	(110, 9.177509558971668)	(115, 9.517365936818672)	(120, 9.844856537464574)	(125, 10.162096883492117)	(130, 10.469540412349946)	(135, 10.773746061224262)	(140, 10.954146456608875)
SRR29492886_2 - polyg	(1, 0.0518607529492757)	(2, 0.052949839462373194)	(3, 0.05312251731505279)	(4, 0.05323487952341613)	(5, 0.053320002408539874)	(6, 0.05341728570582415)	(7, 0.0534912210117602)	(8, 0.053569534066074044)	(9, 0.053649792786333576)	(10, 0.05388239715014028)	(15, 0.05425586772841463)	(20, 0.05467642342257456)	(25, 0.055137546251702044)	(30, 0.05562279533855602)	(35, 0.05614199629616221)	(40, 0.056727447179218994)	(45, 0.05734188848486649)	(50, 0.058002733923318596)	(55, 0.05869840678219847)	(60, 0.05942696139556042)	(65, 0.060213788703995665)	(70, 0.06104750656172192)	(75, 0.06594786081252556)	(80, 0.07529980146376047)	(85, 0.08282096774340257)	(90, 0.08877704033633521)	(95, 0.09642263195320389)	(100, 0.10712885338593325)	(105, 0.12099483631445593)	(110, 0.13607656860914025)	(115, 0.1529531777387195)	(120, 0.17254379629593555)	(125, 0.19507801286237925)	(130, 0.22024393718695726)	(135, 0.24848187347317818)	(140, 0.2668728916915818)
SRR29492887_1 - illumina_universal_adapter	(1, 0.006527547176657368)	(2, 0.006867017159188354)	(3, 0.010593510510137792)	(4, 0.010805892484133307)	(5, 0.012761256642304876)	(6, 0.015946133312583016)	(7, 0.017866100475088666)	(8, 0.019146789366471267)	(9, 0.02028546380536289)	(10, 0.023389225914488526)	(15, 0.02862857833080281)	(20, 0.03648884371777341)	(25, 0.04880998349830444)	(30, 0.0646006259118538)	(35, 0.08219463863712491)	(40, 0.10191102110493837)	(45, 0.12415184906847283)	(50, 0.14942325691876818)	(55, 0.1770190106218153)	(60, 0.20748627096604033)	(65, 0.2412892077114769)	(70, 0.27977478316067)	(75, 0.3241343834231656)	(80, 0.37634853437694593)	(85, 0.4386835819782499)	(90, 0.5144769938015639)	(95, 0.6090760191295088)	(100, 0.7293150928264674)	(105, 0.8848004477523777)	(110, 1.0884673402390823)	(115, 1.3576531334697841)	(120, 1.7129384083703367)	(125, 2.175143848379366)	(130, 2.7671969831763237)	(135, 3.514817952163792)	(140, 4.0418933764275975)
SRR29492887_1 - polya	(1, 0.06814561370430425)	(2, 0.08218926511730093)	(3, 0.09635701925004198)	(4, 0.10727166154013684)	(5, 0.11750693739534245)	(6, 0.13107507495089935)	(7, 0.15015021738638418)	(8, 0.16436488320012826)	(9, 0.1752727019729863)	(10, 0.2046916994817074)	(15, 0.2594560547087777)	(20, 0.32206029006507364)	(25, 0.3771496153005467)	(30, 0.44565815482788346)	(35, 0.4969604279969305)	(40, 0.5477030021646286)	(45, 0.595307099579259)	(50, 0.6437477602071213)	(55, 0.6904358004327108)	(60, 0.7393048073551136)	(65, 0.7847409027556804)	(70, 0.8361884315479058)	(75, 0.8970250347640079)	(80, 0.9511476381949567)	(85, 0.9981449543393044)	(90, 1.0435831820890076)	(95, 1.097529568187316)	(100, 1.1485995858884153)	(105, 1.1993675776578208)	(110, 1.2572780008008846)	(115, 1.3219070296032367)	(120, 1.3701509170527828)	(125, 1.4164822579148184)	(130, 1.4638658704287344)	(135, 1.5098694265815067)	(140, 1.5407442214927)
SRR29492887_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 7.932338787784337e-05)	(4, 0.00014713209041858043)	(5, 0.0001855143748756014)	(6, 0.00023498487484242847)	(7, 0.00030961709461996924)	(8, 0.0005028079263869749)	(9, 0.0006810723141984724)	(10, 0.0007941721123984943)	(15, 0.0009741423795191925)	(20, 0.0011367126776860414)	(25, 0.0013597563973640633)	(30, 0.0015882589308315281)	(35, 0.0018921613297656742)	(40, 0.002188046095946576)	(45, 0.0025069602328016906)	(50, 0.0031734472789064945)	(55, 0.004514950767662109)	(60, 0.005857733665899622)	(65, 0.007084602065076932)	(70, 0.01335123500139202)	(75, 0.025021411237531977)	(80, 0.03342397565689755)	(85, 0.03935608566067834)	(90, 0.04672011075660237)	(95, 0.05725075961419612)	(100, 0.0715286282563461)	(105, 0.08809101046937795)	(110, 0.1078622369569822)	(115, 0.13047272896682052)	(120, 0.156748302672477)	(125, 0.18578177145731867)	(130, 0.21794544348057854)	(135, 0.25378767364619936)	(140, 0.277366593339871)
SRR29492887_2 - illumina_universal_adapter	(1, 0.00693311998241989)	(2, 0.007313957538198999)	(3, 0.011136833070118288)	(4, 0.011417023746654542)	(5, 0.013457255400458857)	(6, 0.016782867113746075)	(7, 0.01896639262952327)	(8, 0.020528978076751324)	(9, 0.02198451959732702)	(10, 0.027296371884282345)	(15, 0.03894113051871521)	(20, 0.05508813111995664)	(25, 0.07292258753385963)	(30, 0.08909867337732294)	(35, 0.10630050444940875)	(40, 0.125609522938185)	(45, 0.14747241334076602)	(50, 0.17229406611119058)	(55, 0.19944296472919248)	(60, 0.2293246820005343)	(65, 0.26245644053176576)	(70, 0.300082508691018)	(75, 0.3432981462887634)	(80, 0.3938407061074578)	(85, 0.45374896980349255)	(90, 0.5263560549591154)	(95, 0.6163242150203381)	(100, 0.7301490972207358)	(105, 0.8766221211682064)	(110, 1.068054191367426)	(115, 1.320522452661924)	(120, 1.6530362858398153)	(125, 2.0857442578919)	(130, 2.6409763289756176)	(135, 3.3394197827676138)	(140, 3.8245762935905634)
SRR29492887_2 - polya	(1, 0.014356253796407748)	(2, 0.04311567307022627)	(3, 0.12538127628661394)	(4, 0.27247029325263705)	(5, 0.42309346567749717)	(6, 0.5555404940628214)	(7, 0.6796240226649607)	(8, 0.8001132635626137)	(9, 0.9191350217845266)	(10, 1.2672508271243699)	(15, 1.8012439331628471)	(20, 2.2785951079125817)	(25, 2.726700176021583)	(30, 3.1557480134278464)	(35, 3.5754008058326505)	(40, 3.9836422038925208)	(45, 4.38331130254176)	(50, 4.780647696529632)	(55, 5.181095358495591)	(60, 5.58374676064714)	(65, 5.984806833285101)	(70, 6.387436997239251)	(75, 6.79296442661215)	(80, 7.188138362693712)	(85, 7.567689514885752)	(90, 7.936492774490172)	(95, 8.306722405078979)	(100, 8.675230035799114)	(105, 9.036581502817151)	(110, 9.393210669437492)	(115, 9.73901799360216)	(120, 10.072348772381229)	(125, 10.395830315792761)	(130, 10.70961444709528)	(135, 11.019355815022926)	(140, 11.203266833935809)
SRR29492887_2 - polyg	(1, 0.05283150867578018)	(2, 0.05320381683501329)	(3, 0.05330361077460154)	(4, 0.053379948873688285)	(5, 0.053444772287437915)	(6, 0.05350490453308725)	(7, 0.053553948563226775)	(8, 0.0536038455330209)	(9, 0.05365544838212423)	(10, 0.05384130393286167)	(15, 0.05417650921711966)	(20, 0.05453372034446633)	(25, 0.05494876078039492)	(30, 0.05541412465594493)	(35, 0.0558829855840788)	(40, 0.056395602316493695)	(45, 0.05698208362299697)	(50, 0.057591935476036304)	(55, 0.058220210825615)	(60, 0.05888013023637939)	(65, 0.05960393482727335)	(70, 0.06036578052676248)	(75, 0.06615340255305395)	(80, 0.07737314135759939)	(85, 0.08539077411084377)	(90, 0.0914301839231733)	(95, 0.09915116426454765)	(100, 0.11017216812957117)	(105, 0.12469525692241881)	(110, 0.14077282823577575)	(115, 0.15894291640376398)	(120, 0.17953398848737026)	(125, 0.20346346637908272)	(130, 0.23019928632236164)	(135, 0.25985113635678864)	(140, 0.27898419339482083)
SRR29492888_1 - illumina_universal_adapter	(1, 0.004793232685830567)	(2, 0.005058998328084601)	(3, 0.008072017060324494)	(4, 0.0082542347552981)	(5, 0.009980388272413201)	(6, 0.012865249746155062)	(7, 0.014593293488321757)	(8, 0.015747464904824694)	(9, 0.016796539808459035)	(10, 0.019770695513638168)	(15, 0.02478213577942468)	(20, 0.0323330555975259)	(25, 0.04399642464687581)	(30, 0.05918045126832154)	(35, 0.07614930399248383)	(40, 0.09544993834029175)	(45, 0.11760602226003876)	(50, 0.14238876291147995)	(55, 0.1694830219740137)	(60, 0.19947839844573295)	(65, 0.23278839795892442)	(70, 0.27088059124364505)	(75, 0.31493432751408523)	(80, 0.36665821899888107)	(85, 0.42855409196731964)	(90, 0.5041655891281241)	(95, 0.5987981185471047)	(100, 0.719353874804656)	(105, 0.8758528652902726)	(110, 1.081783811581127)	(115, 1.3541272857967013)	(120, 1.7140281770631423)	(125, 2.183020760867224)	(130, 2.7849348776073795)	(135, 3.547731719163805)	(140, 4.086531221431256)
SRR29492888_1 - polya	(1, 0.06791503001373056)	(2, 0.0821559855524353)	(3, 0.09617465062507266)	(4, 0.10713228524915966)	(5, 0.11717278267821353)	(6, 0.13055784431355677)	(7, 0.1492805234495895)	(8, 0.16312339759242866)	(9, 0.17387499768589199)	(10, 0.20292012021967426)	(15, 0.2572814805234594)	(20, 0.3194183193814751)	(25, 0.37399198976305525)	(30, 0.4420012285933573)	(35, 0.4928485093082261)	(40, 0.5433126792096381)	(45, 0.5904728869388689)	(50, 0.638754300559703)	(55, 0.6853404847452658)	(60, 0.7346736195848063)	(65, 0.7803791101143308)	(70, 0.8320551411008201)	(75, 0.8929599312702073)	(80, 0.9471368812179591)	(85, 0.993916473230801)	(90, 1.0393931709200808)	(95, 1.093331272030313)	(100, 1.1442958979163849)	(105, 1.1948250159505698)	(110, 1.2527446871094783)	(115, 1.3171492667663915)	(120, 1.3652953402735315)	(125, 1.4112211554350698)	(130, 1.4581806968728235)	(135, 1.5039356356896978)	(140, 1.5346189028621928)
SRR29492888_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 7.938945216692319e-05)	(4, 0.0001436571039210991)	(5, 0.00018448596503551674)	(6, 0.0002336318163769454)	(7, 0.0003130212685438686)	(8, 0.0005258606093532864)	(9, 0.0006914443238728691)	(10, 0.0008272380915793397)	(15, 0.00102677024802554)	(20, 0.0012053587109000852)	(25, 0.0014502562685845273)	(30, 0.0016755710947344619)	(35, 0.001969463285756205)	(40, 0.0022800650662340343)	(45, 0.0025505940756180828)	(50, 0.0028540886099019205)	(55, 0.0032102826186241828)	(60, 0.003787254913372554)	(65, 0.004505691650982177)	(70, 0.01134830633775032)	(75, 0.021244919835876903)	(80, 0.02797843073266707)	(85, 0.03366763009295291)	(90, 0.04174085689731043)	(95, 0.053519151629797215)	(100, 0.06867149807937825)	(105, 0.0858572730304614)	(110, 0.10592337291516259)	(115, 0.12906199581672784)	(120, 0.15565164039948817)	(125, 0.18472609922607114)	(130, 0.2169531510027037)	(135, 0.25292587274157374)	(140, 0.27662914367055097)
SRR29492888_2 - illumina_universal_adapter	(1, 0.005392434027185678)	(2, 0.0056975163505128545)	(3, 0.008811851145518156)	(4, 0.009041702511791913)	(5, 0.010850269841156487)	(6, 0.013886349319025822)	(7, 0.01585331750771392)	(8, 0.01726871802634707)	(9, 0.01858771706734895)	(10, 0.02349307790324004)	(15, 0.0339947902448827)	(20, 0.04846506788684676)	(25, 0.0647528347204189)	(30, 0.08013200817619114)	(35, 0.09668531382501114)	(40, 0.11558990822000921)	(45, 0.13734889366091746)	(50, 0.16176787940343)	(55, 0.1884220940739528)	(60, 0.21781894968533555)	(65, 0.250360232474545)	(70, 0.28746013321618125)	(75, 0.33023486760771115)	(80, 0.3801030873548568)	(85, 0.43938417420492504)	(90, 0.5114626895262975)	(95, 0.6009764895055631)	(100, 0.7143960413213328)	(105, 0.8604962989261175)	(110, 1.052220767383208)	(115, 1.3048538064597888)	(120, 1.6376658069028427)	(125, 2.0716477935193156)	(130, 2.6288072785399006)	(135, 3.330373001474032)	(140, 3.817716646169003)
SRR29492888_2 - polya	(1, 0.015168299949016473)	(2, 0.04446565411368336)	(3, 0.12826991591110812)	(4, 0.2801525231667211)	(5, 0.43631270971409)	(6, 0.5726818619262655)	(7, 0.7003986979872774)	(8, 0.8236409933061574)	(9, 0.9453639257285665)	(10, 1.2992257747821725)	(15, 1.8384945821254342)	(20, 2.3187120783758983)	(25, 2.7678287945444717)	(30, 3.1996500270999677)	(35, 3.6205277639147626)	(40, 4.030516897124354)	(45, 4.432358026226548)	(50, 4.831558284104659)	(55, 5.234506480215069)	(60, 5.639439790674663)	(65, 6.043051228951176)	(70, 6.4477124226123435)	(75, 6.85516941034282)	(80, 7.2521464611242505)	(85, 7.633747589636995)	(90, 8.00384541335776)	(95, 8.375948841467268)	(100, 8.745946710087303)	(105, 9.10821197045728)	(110, 9.46604911401239)	(115, 9.813323377543188)	(120, 10.147351321957432)	(125, 10.471333551921479)	(130, 10.785690831531813)	(135, 11.095152655085528)	(140, 11.278502594865037)
SRR29492888_2 - polyg	(1, 0.05095933325592736)	(2, 0.0513143175206166)	(3, 0.051393706972783525)	(4, 0.051456840489506744)	(5, 0.05151203506101327)	(6, 0.051562315047385655)	(7, 0.05161259503375804)	(8, 0.051659094570027236)	(9, 0.05171580132157504)	(10, 0.05188153625409875)	(15, 0.0521895673285064)	(20, 0.05252315424561162)	(25, 0.052912843042248116)	(30, 0.053357575192387006)	(35, 0.05380986824273228)	(40, 0.05432680698984205)	(45, 0.05487285520274635)	(50, 0.05547205654410146)	(55, 0.05610429901935843)	(60, 0.05676875092949454)	(65, 0.0574914973802218)	(70, 0.05825968484118936)	(75, 0.06297564512691078)	(80, 0.0725033623039684)	(85, 0.07991947127138999)	(90, 0.08571127204747632)	(95, 0.0931519539405686)	(100, 0.10374810192578887)	(105, 0.11773637217959662)	(110, 0.1334119329234587)	(115, 0.1513513027981111)	(120, 0.17191914402050723)	(125, 0.19572017738915287)	(130, 0.22199755679339)	(135, 0.25135675912174504)	(140, 0.27033166988866236)
