Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR29492983_2	SRR29492983_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39467631.0	5.9 Gbp	0.0	151.0	47.0	63.01865543404806	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492984_1	SRR29492984_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47545441.0	7.1 Gbp	0.0	151.0	48.0	56.83829183016622	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492984_2	SRR29492984_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47545441.0	7.1 Gbp	0.0	151.0	47.0	54.99470492022871	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492985_1	SRR29492985_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40466613.0	6.1 Gbp	0.0	151.0	48.0	63.31121801112959	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	warn
SRR29492985_2	SRR29492985_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40466613.0	6.1 Gbp	0.0	151.0	47.0	61.3361878053326	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492986_1	SRR29492986_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46201162.0	6.9 Gbp	0.0	151.0	48.0	60.43549123836809	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492986_2	SRR29492986_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46201162.0	6.9 Gbp	0.0	151.0	47.0	58.65627207884971	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492987_1	SRR29492987_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41738191.0	6.3 Gbp	0.0	151.0	48.0	64.75580435108805	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
SRR29492987_2	SRR29492987_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41738191.0	6.3 Gbp	0.0	151.0	47.0	63.23488989857743	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492988_1	SRR29492988_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42270610.0	6.3 Gbp	0.0	151.0	49.0	59.61128019282742	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492988_2	SRR29492988_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42270610.0	6.3 Gbp	0.0	151.0	48.0	58.39147462856563	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492989_1	SRR29492989_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39548684.0	5.9 Gbp	0.0	151.0	48.0	60.783570752948	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492989_2	SRR29492989_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39548684.0	5.9 Gbp	0.0	151.0	47.0	59.30133816785196	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492990_1	SRR29492990_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45308759.0	6.8 Gbp	0.0	151.0	48.0	65.46992452208701	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
SRR29492990_2	SRR29492990_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45308759.0	6.8 Gbp	0.0	151.0	48.0	64.19279367334936	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	pass
SRR29492991_1	SRR29492991_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47267222.0	7.1 Gbp	0.0	151.0	48.0	61.619777217302875	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492991_2	SRR29492991_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47267222.0	7.1 Gbp	0.0	151.0	47.0	59.4041568334705	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492992_1	SRR29492992_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37786901.0	5.7 Gbp	0.0	151.0	49.0	61.69394144660861	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492992_2	SRR29492992_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37786901.0	5.7 Gbp	0.0	151.0	48.0	60.38134599150292	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn
SRR29492993_1	SRR29492993_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37102788.0	5.6 Gbp	0.0	151.0	47.0	66.25585920910537	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
SRR29492993_2	SRR29492993_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37102788.0	5.6 Gbp	0.0	151.0	47.0	65.01943294266009	151.0	151	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	pass
